"verb";"meanings"
"acotejar";"<li>tr. <span class=""i"">amer.</span> Arreglar,  ordenar,  acomodar:<br><span class=""i"">acotejó los libros.</span> </li><li> prnl. <span class=""i"">amer.</span> Acomodarse:<br><span class=""i"">se acotejó en el sofá.</span><br></li>"
"acoyundar";""
"acrecentar";"<li>tr. y prnl. Aumentar el tamaño,  la cantidad o la importancia de algo:<br><span class=""i"">acrecentar los beneficios;<br> acrecentarse la pasión.</span><br> ♦ <span class=""b"">Irreg.</span> Se conj. como <span class=""b"">acertar</span>.<br></li>"
"acrecer";"<li>tr.,  intr. y prnl. Aumentar,  hacer mayor:<br><span class=""i"">acrecer el patrimonio.</span><br> ♦ <span class=""b"">Irreg.</span> Se conj. como <span class=""b"">agradecer</span>.<br></li>"
"acreditar";"<li>tr. Dar credibilidad a algo,  demostrar su autenticidad:<br><span class=""i"">acreditar una firma.</span> </li><li> Afamar,  dar crédito o reputación:<br><span class=""i""> un buen servicio acredita cualquier restaurante.</span> También prnl.:<br><span class=""i"">Antonio Banderas se ha acreditado como actor internacional.</span> </li><li> Asegurar que algo o alguien es lo que parece.<br> ♦ Se construye con la prep. <span class=""i"">de:</span> <span class=""i"">este comportamiento le acredita de tonto.</span> </li><li> Testimoniar con documento fehaciente que una persona posee las facultades necesarias para desempeñar un cometido:<br><span class=""i"">acreditar a un embajador.</span> </li><li> <span class=""ac"">econ.</span> <span class=""b"">abonar.</span><br></li>"
"acribar";""
"acribillar";"<li>tr. Abrir muchos agujeros en alguna cosa:<br><span class=""i"">acribillar a balazos.</span> </li><li> Hacer muchas heridas o picaduras a una persona o a un animal:<br><span class=""i"">acribillar a puñaladas;<br> le acribillaron los mosquitos.</span> </li><li> <span class=""i"">col.</span> Molestar mucho y con frecuencia:<br><span class=""i"">acribillar a preguntas.</span><br></li>"
"acriminar";""
"acrisolar";"<li>tr. Depurar,  purificar por medio del fuego en el crisol:<br><span class=""i"">acrisolar el oro,  los metales.</span> </li><li> Purificar,  especialmente cualidades morales:<br><span class=""i"">acrisolar la fe.</span> </li><li> Aclarar algo por medio de testimonios o pruebas:<br><span class=""i"">el sufrimiento acrisola la virtud.</span> También prnl.<br> ♦ Se construye con las preps. <span class=""i"">con</span> y <span class=""i"">en:</span> <span class=""i"">la virtud se acrisola con/en el sufrimiento.</span><br></li>"
"acristalar";"<li>tr. Poner cristales en una abertura para cerrarla:<br><span class=""i"">acristalar una galería.</span><br></li>"
"acristianar";""
"activar";"<li>tr. y prnl. Avivar,  aumentar la intensidad,  energía o rapidez de algo:<br><span class=""i"">han activado el comercio exterior.</span> </li><li> Poner en marcha un mecanismo:<br><span class=""i"">activar una alarma.</span> </li><li> <span class=""ac"">fís.</span> Dotar a una sustancia de propiedades radiactivas:<br><span class=""i"">activar una sustancia bombardeándola con partículas materiales o con fotones.</span><br></li>"
"actualizar";"<li>tr. Poner al día algo que se ha quedado atrasado:<br><span class=""i"">actualizar una obra.</span> También prnl.:<br><span class=""i"">se ha actualizado el lenguaje.</span> </li><li> Renovar,  modernizar:<br><span class=""i"">decidieron actualizar el formato.</span> También prnl.:<br><span class=""i"">se ha actualizado mucho y viste a la moda.</span> </li><li> <span class=""ac"">ling.</span> Hacer que los signos lingüísticos virtualmente asociados en la lengua se conviertan en expresiones concretas de habla:<br><span class=""i"">actualizamos la palabra ""constitución"" gracias al artículo y al adjetivo en ""la constitución española"".</span><br> ♦ Se conj. como <span class=""b"">cazar</span>.<br></li>"
"actuar";"<li>intr. Obrar,  comportarse de una determinada manera:<br><span class=""i"">actuaste correctamente.</span> </li><li> Realizar una persona actos voluntarios o propios de su cargo u oficio:<br><span class=""i"">la policía actuó con rapidez.</span><br> ♦ Se puede construir con la prep. <span class=""i"">de:</span> <span class=""i"">actúa de fiscal en el caso.</span> </li><li> Producir una cosa efecto sobre algo o alguien:<br><span class=""i"">el antídoto actuó con rapidez.</span> </li><li> Interpretar un papel,  especialmente en una obra teatral o cinematográfica:<br><span class=""i"">en esa película actúa Maribel Verdú.</span> </li><li> Trabajar en un espectáculo público:<br><span class=""i"">la cantante actuó en la plaza de toros de Las Ventas.</span> </li><li> Realizar el ejercicio de una oposición:<br><span class=""i"">le toca actuar mañana delante del tribunal.</span> </li><li> <span class=""ac"">der.</span> Formar autos,  proceder judicialmente:<br><span class=""i"">el juez del juzgado de instrucción número cinco actúa en el caso.</span><br> ♦ Véase conj. modelo.<br></li>"
"acuadrillar";""
"acuartelar";"<li>tr. Reunir o retener la tropa en el cuartel en previsión de algún disturbio o para realizar maniobras:<br><span class=""i"">ante la magnitud del desastre,  acuartelaron la tropa para su participación en tareas de rescate. </span>También prnl.:<br><span class=""i"">acuartelarse un ejército.</span><br></li>"
"acuatizar";"<li>intr. <span class=""b"">amarar.</span><br> ♦ Se conj. como <span class=""b"">cazar</span>.<br></li>"
"acuchillar";"<li>tr. Cortar,  herir o matar con un cuchillo u otra arma blanca:<br><span class=""i"">lo acuchillaron en la esquina.</span> </li><li> Raspar y alisar una superficie de madera para luego barnizarla o encerarla:<br><span class=""i"">hay que acuchillar el parqué.</span><br></li>"
"acuciar";"<li>tr. Estimular,  dar prisa:<br><span class=""i""> no cesa de acuciarme para que termine el trabajo.</span> </li><li> Ser una cosa urgente para alguien:<br><span class=""i"">me acucia encontrar un trabajo.</span> </li><li> Inquietar,  desazonar a alguien:<br><span class=""i"">las preocupaciones le acucian.</span><br> ♦ Se conj. como <span class=""b"">cambiar</span>.<br></li>"
"acudir";"<li>intr. Ir alguien al sitio adonde le conviene o es llamado:<br><span class=""i"">acudir puntualmente a una cita.</span> </li><li> Ir o asistir con frecuencia a algún lugar:<br><span class=""i"">acudía a clases de baile de salón al salir de trabajar.</span> </li><li> Venir,  sobrevenir algo:<br><span class=""i"">aquellas escenas acudían a mi mente una y otra vez.</span> </li><li> Ir en socorro de alguno:<br><span class=""i""> acudió a remediar a los heridos.</span> </li><li> Recurrir a alguien o algo:<br><span class=""i"">acudieron al ministro,  a las armas.</span><br> ♦ Se construye con la prep. <span class=""i"">a.</span><br></li>"
"acuitar";""
"acular";""
"acullicar";""
"aculturar";"<li>tr. Trasmitir un pueblo elementos de su cultura a otro:<br><span class=""i"">aculturar es integrar a un pueblo en un proceso de aculturación.</span><br></li>"
"acumular";"<li>tr. Agrupar o amontonar algo en cantidad:<br><span class=""i"">su sueño era acumular fama y dinero.</span> También prnl.:<br><span class=""i"">se me han acumulado las tareas.</span><br></li>"
"acunar";"<li>tr. Mecer a un niño en la cuna o en los brazos:<br><span class=""i"">acunó al bebé para que dejase de llorar.</span><br></li>"
"acusar";"<li>tr. Imputar a alguien un delito,  una culpa o una falta.<br> ♦ Se construye con la prep. <span class=""i"">de:</span> <span class=""i"">le acusaron del robo.</span> También prnl.:<br><span class=""i"">me acuso de todos mis pecados.</span> </li><li> Denunciar,  delatar:<br><span class=""i""> lo acusó ante todos.</span> También prnl.:<br><span class=""i"">se acusó sin darse cuenta.</span> </li><li> Manifestar,  revelar:<br><span class=""i"">sus ojos acusan el cansancio.</span> </li><li> Notificar,  avisar la recepción de cartas,  oficios,  etc.<br> ♦ Se construye con un complemento seguido de la prep. <span class=""i"">de:</span> <span class=""i"">acusó recibo de la citación.</span><br></li>"
"adamascar";""
"adaptar";"<li>tr. Acomodar,  ajustar una cosa a otra. También prnl.:<br><span class=""i"">esta casa no se adapta a mis necesidades.</span> </li><li> Hacer que un objeto o mecanismo desempeñe funciones distintas de aquellas para las que fue construido:<br><span class=""i"">he adaptado el local para sala de fiestas.</span> </li><li> Modificar una obra científica,  literaria,  musical,  etc.:<br><span class=""i"">han adaptado la novela al cine.</span> </li><li> prnl. Acomodarse una persona mental y físicamente a diversas circunstancias:<br><span class=""i"">se adaptó muy pronto a su nueva vida.</span><br></li>"
"adecentar";"<li>tr. y prnl. Poner decente:<br><span class=""i"">adecentar el cuarto;<br> adecentarse para salir a la calle.</span><br></li>"
"adecuar";"<li>tr. Acomodar una cosa a otra:<br><span class=""i"">adecuar los gastos a las ganancias.</span> También prnl.:<br><span class=""i"">tu perfil no se adecuaba al puesto de trabajo.</span><br> ♦ Véase conj. modelo.<br></li>"
"adelantar";"<li>tr. Mover o llevar hacia delante. También prnl.:<br><span class=""i"">se adelantó unos pasos.</span> </li><li> Acelerar,  apresurar:<br><span class=""i"">si te quedas,  adelantaremos el trabajo.</span> </li><li> Anticipar:<br><span class=""i"">adelantar la paga,  la salida.</span> También prnl. </li><li> Ganar la delantera a algo o alguien:<br><span class=""i"">el coche adelantó al camión.</span> También prnl. </li><li> Conseguir o llegar a tener:<br><span class=""i"">¿qué adelantas con esta actitud?</span> </li><li> Correr hacia delante las agujas del reloj:<br><span class=""i"">hay que adelantar el reloj una hora.</span> </li><li> intr. Funcionar un reloj más deprisa de lo debido:<br><span class=""i"">este reloj adelanta.</span> También prnl. </li><li> Progresar,  mejorar:<br><span class=""i"">este niño ha adelantado mucho gracias a las clases particulares.</span><br></li>"
"adelgazar";"<li>tr. Disminuir el peso o el grosor:<br><span class=""i"">el color negro adelgaza la figura; adelgazó el muro.</span> </li><li> intr. Enflaquecer:<br><span class=""i"">ha adelgazado mucho.</span><br> ♦ Se conj. como <span class=""b"">cazar</span>.<br></li>"
"adentellar";""
"aderezar";"<li>tr. Condimentar los alimentos para darles sabor:<br><span class=""i"">aderezó la ensalada con aceite y vinagre.</span> </li><li> Arreglar,  componer,  adornar:<br><span class=""i"">aderezó los caballos para la feria.</span> También prnl. con valor reflexivo:<br><span class=""i"">aderezarse para una fiesta.</span> </li><li> Disponer o preparar:<br><span class=""i"">aderezar una sala.</span> </li><li> Acompañar una acción con algo que le añade gracia o adorno:<br><span class=""i"">aderezaron el espectáculo con unos cuantos chistes.</span><br> ♦ Se conj. como <span class=""b"">cazar</span>.<br></li>"
"adeudar";"<li>tr. Deber,  tener deudas:<br><span class=""i"">ya no te adeudo nada.</span> </li><li> <span class=""ac"">com.</span> Cargar,  anotar una cantidad en el debe de una cuenta:<br><span class=""i"">adeudar un recibo.</span> </li><li> prnl. Endeudarse:<br><span class=""i"">adeudarse por apuestas de juego.</span><br></li>"
"adherir";"<li>tr. Pegar una cosa a otra:<br><span class=""i"">adherir el sello al sobre.</span> </li><li> intr. Pegarse una cosa con otra:<br><span class=""i"">se ha secado el pegamento y la pieza ya no adhiere.</span> También prnl.:<br><span class=""i"">este polvillo se adhiere a todo.</span> </li><li> Convenir en un dictamen o partido y abrazarlo. Más c. prnl.:<br><span class=""i"">se adhirieron a la causa.</span><br> ♦ <span class=""b"">Irreg.</span> Se conj. como <span class=""b"">sentir</span>.<br></li>"
"adicionar";"<li>tr. Añadir o agregar una cosa a otra:<br><span class=""i"">adicionaron a la fachada principal un par de columnas.</span><br></li>"
"adiestrar";"<li>tr. Enseñar,  preparar,  hacer diestro.<br> ♦ Se construye con la prep. <span class=""i"">en:</span> <span class=""i"">adiestraban a los niños en el juego del ajedrez.</span> También prnl.:<br><span class=""i"">se ha adiestrado en el manejo de la espada.</span> </li><li> Amaestrar,  domar a un animal.<br> ♦ Se construye con la prep. <span class=""i"">para:</span> <span class=""i"">adiestró a su perro para que atacara a los ladrones.</span><br></li>"
"adivinar";"<li>tr. Predecir el futuro o descubrir las cosas ocultas o ignoradas,  haciendo uso de la magia o de poderes sobrenaturales:<br><span class=""i"">adivinar el futuro.</span> </li><li> Descubrir por conjeturas algo que no se sabe:<br><span class=""i"">adivinó la respuesta; adivina quién llega esta tarde.</span> </li><li> Acertar el significado de un enigma:<br><span class=""i"">adivinó el acertijo.</span> </li><li> Vislumbrar,  distinguir:<br><span class=""i"">a lo lejos adivino su silueta.</span> También prnl.<br> ♦ Se usa en construcciones pasivas reflejas:<br><span class=""i"">a lo lejos se adivina un castilllo.</span><br></li>"
"adjetivar";"<li>tr. Aplicar adjetivos:<br><span class=""i"">no eres quién para adjetivar mi forma de vida.</span> </li><li> <span class=""ac"">gram. </span>Pasar a tener valor adjetivo una parte de la oración que no funcionaba como tal,  y desempeñar una función propia de él. También prnl.:<br><span class=""i"">en esta oración se ha adjetivado un sustantivo.</span><br></li>"
"adjudicar";"<li>tr. Declarar que una cosa corresponde a una persona:<br><span class=""i"">le han adjudicado la plaza.</span> </li><li> prnl. Apropiarse uno de alguna cosa:<br><span class=""i"">se adjudicó el trozo mayor.</span> </li><li> <span class=""ac"">dep.</span> En algunas competiciones,  ganar o conseguir la victoria:<br><span class=""i"">se adjudicó el triunfo.</span><br> ♦ Se conj. como <span class=""b"">sacar</span>.<br></li>"
"adjuntar";"<li>tr. Enviar,  juntamente con una carta u otro escrito,  notas,  facturas,  etc.:<br><span class=""i"">adjunto un currículum a la solicitud de beca.</span> </li><li> <span class=""ac"">gram.</span> Poner inmediatamente un vocablo junto a otro:<br><span class=""i"">adjuntar un adjetivo a un sustantivo.</span><br></li>"
